#datatype measurement,dateTime:RFC3339,float,float,double
speed,msgTime,latitude,longitude,gpsSpeed
speed,2021-08-18T17:01:25Z,41.19861,29.07226,4.3
speed,2021-08-18T17:01:23Z,41.19867,29.07228,6.4
speed,2021-08-18T17:01:18Z,41.19878,29.07233,4.9
speed,2021-08-18T17:01:14Z,41.19888,29.07238,6.3
speed,2021-08-18T17:01:10Z,41.19901,29.07242,7.9
speed,2021-08-18T17:01:06Z,41.19917,29.07243,8.5
speed,2021-08-18T17:01:02Z,41.1993,29.07235,6.9
speed,2021-08-18T17:00:58Z,41.19941,29.07228,4.7
speed,2021-08-18T17:00:55Z,41.19947,29.07232,5.6
speed,2021-08-18T17:00:53Z,41.19953,29.07236,6.6
speed,2021-08-18T17:00:49Z,41.19964,29.07235,6.8
speed,2021-08-18T17:00:45Z,41.19978,29.07239,7.6
speed,2021-08-18T17:00:41Z,41.19992,29.07246,7.9
speed,2021-08-18T17:00:37Z,41.20004,29.07258,7.4
speed,2021-08-18T17:00:33Z,41.20013,29.07271,7.5
speed,2021-08-18T17:00:28Z,41.20022,29.07292,7.7
speed,2021-08-18T17:00:24Z,41.20028,29.07306,5.6
speed,2021-08-18T17:00:20Z,41.20035,29.07314,2.7
speed,2021-08-18T17:00:16Z,41.20036,29.07312,2.8
speed,2021-08-18T17:00:12Z,41.20037,29.07309,2.1
speed,2021-08-18T17:00:08Z,41.20033,29.07313,3.5
speed,2021-08-18T17:00:04Z,41.20023,29.07293,10.5
speed,2021-08-18T16:59:59Z,41.20009,29.07264,14.3
speed,2021-08-18T16:59:55Z,41.19987,29.07244,15
speed,2021-08-18T16:59:54Z,41.1998,29.07242,13.9
speed,2021-08-18T16:59:51Z,41.19963,29.07236,11.4
speed,2021-08-18T16:59:47Z,41.19943,29.07232,8.3
speed,2021-08-18T16:59:43Z,41.19931,29.07228,6.1
speed,2021-08-18T16:59:39Z,41.19913,29.07245,9.6
speed,2021-08-18T16:59:34Z,41.19895,29.07244,8.2
speed,2021-08-18T16:59:30Z,41.19883,29.0724,5
speed,2021-08-18T16:59:26Z,41.19875,29.07236,3.5
speed,2021-08-18T16:59:23Z,41.19871,29.07235,5.1
speed,2021-08-18T16:59:22Z,41.19869,29.07233,8.1
speed,2021-08-18T16:59:18Z,41.1985,29.07221,11.5
speed,2021-08-18T16:59:14Z,41.19835,29.07203,11.1
speed,2021-08-18T16:59:09Z,41.19811,29.07187,10.5
speed,2021-08-18T16:59:05Z,41.19794,29.07175,9.5
speed,2021-08-18T16:59:01Z,41.19781,29.07163,4.9
speed,2021-08-18T16:58:57Z,41.19776,29.07156,6
speed,2021-08-18T16:58:53Z,41.19764,29.07137,12.4
